"","season","date","league_id","league","team1","team2","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","importance1","importance2","score1","score2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2","reg_season","after_covid","is_VAR"
"102",2016,"2017-04-08",1975,"Mexican Primera Division Torneo Clausura","Cruz Azul","Morelia",40.47,37.69,0.469,0.2477,0.2834,1.45,1.01,NA,NA,1,1,0.95,0.4,0.59,0.45,1.05,1.05,0,0,0
"103",2016,"2017-04-08",1975,"Mexican Primera Division Torneo Clausura","Monterrey","Chiapas FC",48.88,30.54,0.5922,0.1653,0.2426,1.98,0.82,NA,NA,4,1,2.29,0.75,1.83,1.02,3.79,1.05,0,0,0
"104",2016,"2017-04-08",1975,"Mexican Primera Division Torneo Clausura","León","Veracruz",39.28,32.62,0.5189,0.2231,0.258,1.76,1.13,NA,NA,4,0,2.28,0.47,1.7,0.98,2.85,0,0,0,0
"105",2016,"2017-04-08",1975,"Mexican Primera Division Torneo Clausura","Necaxa","Tigres UANL",36.23,45.09,0.3325,0.3601,0.3074,1.08,1.14,NA,NA,1,1,0.34,1.7,0.66,1.78,1.05,1.05,0,0,0
"106",2016,"2017-04-08",1975,"Mexican Primera Division Torneo Clausura","Guadalajara","Puebla",43.48,37.34,0.5013,0.225,0.2737,1.56,0.96,NA,NA,3,2,1.03,0.9,1.51,0.75,3.15,2.1,0,0,0
"107",2016,"2017-04-09",1975,"Mexican Primera Division Torneo Clausura","Pumas Unam","Toluca",44.08,42.23,0.4566,0.2776,0.2658,1.64,1.27,NA,NA,0,1,0.8,0.04,1.63,0.44,0,1.05,0,0,0
"108",2016,"2017-04-09",1975,"Mexican Primera Division Torneo Clausura","Santos Laguna","Pachuca",41.62,44.97,0.4037,0.314,0.2824,1.38,1.23,NA,NA,1,0,1.76,0.42,2.04,0.66,1.05,0,0,0,0
"109",2016,"2017-04-11",1975,"Mexican Primera Division Torneo Clausura","Chiapas FC","León",29.93,41.18,0.2943,0.4375,0.2683,1.38,1.61,NA,NA,0,0,0.73,0.97,1.45,1.18,0,0,0,0,0
"110",2016,"2017-04-11",1975,"Mexican Primera Division Torneo Clausura","Veracruz","Puebla",30.91,37.38,0.3543,0.3644,0.2813,1.4,1.39,NA,NA,3,2,2.04,0.67,1.74,0.8,3.15,2.1,0,0,0
"111",2016,"2017-04-11",1975,"Mexican Primera Division Torneo Clausura","Tigres UANL","Guadalajara",45.82,43.67,0.4585,0.2441,0.2974,1.3,0.88,NA,NA,3,0,0.86,0.29,1.22,0.45,2.71,0,0,0,0
"112",2016,"2017-04-12",1975,"Mexican Primera Division Torneo Clausura","Querétaro","Tijuana",36.55,44.16,0.3528,0.3675,0.2797,1.36,1.38,NA,NA,0,1,0.83,1.24,1.41,0.6,0,1.05,0,0,0
"113",2016,"2017-04-12",1975,"Mexican Primera Division Torneo Clausura","Santos Laguna","Monterrey",42.75,49.75,0.3753,0.35,0.2746,1.42,1.41,NA,NA,2,2,1.49,0.91,1.54,1.02,2.1,2.1,0,0,0
